411.384 500
626.16 419.798 300 300
38
64.8333 20
0 60 2
66.8333 60 2
133.667 60 2
200.5 60 2
267.333 60 2
334.167 60 2
401 60 2
467.833 60 2
534.667 60 2
601.5 60 2
668.333 60 2
735.167 60 2
0 82 1
66.8333 82 2
133.667 82 2
200.5 82 2
267.333 82 2
334.167 82 2
401 82 2
467.833 82 2
534.667 82 2
601.5 82 2
668.333 82 2
735.167 82 2
133.667 104 2
200.5 104 2
267.333 104 2
334.167 104 2
401 104 2
467.833 104 2
534.667 104 2
601.5 104 2
668.333 104 1
735.167 104 2
267.333 126 1
334.167 126 1
534.667 126 2
601.5 126 1
